epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,253.648,0.3854,5.96279,2.07269,0.81812,0.77745,0.83526,0.58165,0.42086,10.6609,2.27114,0.000957358,0.000957358,0.000957358
88,256.496,0.39693,5.77812,2.09936,0.79498,0.66667,0.8191,0.55997,0.4305,20.3015,2.28188,0.000949106,0.000949106,0.000949106
89,259.374,0.38962,6.00386,2.08423,0.77361,0.58025,0.79025,0.54921,0.39285,16.448,2.2393,0.000940855,0.000940855,0.000940855
90,262.24,0.3923,6.10202,2.03853,0.79455,0.76394,0.84105,0.54065,0.39097,12.7104,2.25545,0.000932603,0.000932603,0.000932603
91,265.078,0.40006,6.11967,2.08469,0.79438,0.51852,0.71051,0.4644,0.41238,24.1141,2.15707,0.000924352,0.000924352,0.000924352
92,267.963,0.3985,5.82807,2.06162,0.75521,0.68564,0.82903,0.56669,0.3649,13.7668,2.16869,0.0009161,0.0009161,0.0009161
93,270.817,0.37836,5.80244,2.04311,0.85037,0.70166,0.85885,0.60722,0.38344,10.599,2.24388,0.000907848,0.000907848,0.000907848
94,273.667,0.37822,5.49099,2.07875,0.77237,0.83782,0.88246,0.61979,0.39885,7.82879,2.23675,0.000899597,0.000899597,0.000899597
95,276.702,0.36344,5.53202,2.04322,0.79056,0.74563,0.81026,0.55515,0.4177,10.8172,2.32927,0.000891345,0.000891345,0.000891345
96,279.551,0.38304,5.6441,2.03188,0.73876,0.69829,0.78977,0.54136,0.40651,8.00033,2.27505,0.000883093,0.000883093,0.000883093
97,282.417,0.3907,5.7768,2.07059,0.78532,0.72263,0.80638,0.5597,0.42337,8.60253,2.30665,0.000874842,0.000874842,0.000874842
98,285.319,0.39363,5.73572,2.09529,0.67531,0.46226,0.60041,0.41911,0.3675,20.4097,2.21722,0.00086659,0.00086659,0.00086659
99,288.198,0.38517,5.60781,2.04658,0.7761,0.58025,0.73837,0.50751,0.3867,17.4756,2.22969,0.000858338,0.000858338,0.000858338
100,291.072,0.3768,5.29925,2.01365,0.86616,0.74074,0.84653,0.59534,0.40777,11.7739,2.28716,0.000850087,0.000850087,0.000850087
101,293.908,0.37526,5.35369,2.03379,0.83351,0.67989,0.84191,0.58051,0.41461,13.129,2.30438,0.000841835,0.000841835,0.000841835
102,296.779,0.36969,5.30916,2.00252,0.82393,0.80883,0.87977,0.60486,0.38314,10.8518,2.20833,0.000833583,0.000833583,0.000833583
103,299.651,0.37039,5.39195,2.01654,0.86028,0.83622,0.92953,0.62805,0.39845,7.8081,2.17909,0.000825332,0.000825332,0.000825332
104,302.65,0.36291,5.45007,2.03723,0.7884,0.81481,0.84855,0.56955,0.42353,12.2913,2.23294,0.00081708,0.00081708,0.00081708
105,305.503,0.37615,5.56473,2.05618,0.76664,0.81121,0.84981,0.62104,0.37388,11.2566,2.11667,0.000808828,0.000808828,0.000808828
106,308.361,0.39011,5.46341,2.08827,0.73587,0.79112,0.83349,0.61215,0.3734,12.4224,2.08867,0.000800577,0.000800577,0.000800577
107,311.217,0.3817,5.37964,2.02091,0.5137,0.92593,0.77545,0.56639,0.37302,18.6086,2.11579,0.000792325,0.000792325,0.000792325
108,314.065,0.37858,5.35461,1.98248,0.72533,0.69136,0.7902,0.55758,0.37314,15.5359,2.08145,0.000784073,0.000784073,0.000784073
